 전국 동물원									
번호	지역	상호명	주소	운영	요일	시간		부가시설	이용 요금
[서울]									
1	서울	서울어린이대공원	서울특별시 광진구 능동로 216	공공	공통	10:00	17:00	공원, 놀이동산	무료
2	서울	헬로애니멀	서울특별시 도봉구 마들로 650, 도봉월드상가 1층 119호	민간	공통	10:30	19:00		13,000
3	서울	㈜주렁주렁	서울시 영등포구 영중로 15, 타임스퀘어	민간	평일	12:00	20:00		27,000
					주말	10:30	20:30		3시간
4	서울	테이블에이 동물원	서울특별시 마포구 와우산로 146 그레이스빌딩 지하1층, 1층 102호, 2층	민간	공통	12:00	22:00		16,000
									
[부산]									
5	부산	부산어린이대공원	부산 부산진구 새싹로 295	공공	공통	00:00	23:59		무료
6	부산	라라쥬 동물원	부산광역시 남구 전포대로 133, 지하1층(문현동)	민간	평일	11:00	19:00		12,000
			부산 강서구 명지국제8로10번길 38 1동 4층 6호 404호~411호		주말	11:00	20:00		
7	부산	마리앤쥬	부산 부산진구 동천로 70 3층	민간	평일	12:00	21:00		15,000
					주말	11:00	21:00																						
[경기]									
36	경기	서울대공원	경기도 과천시 대공원광장로 102	공공					
37	경기	하이브패밀리테마파크	경기도 용인시 기흥구 기흥역로 63, AK&기흥 6층	민간					
		(구,하이브랜드 기흥점)							
38	경기	㈜에버랜드 동물원	경기도 용인시 처인구 포곡읍 에버랜드로 199	민간					
39	경기	배다골테마파크	경기도 고양시 덕양구 화정동7-2	민간					
40	경기	해피쥬	경기도 고양시 덕양구 화정동 6-5	민간					
41	경기	테마동물원 쥬쥬	경기도 고양시 원당로 458번길 7-42	민간					
42	경기	수피아(와우쥬)	경기도 고양시 일산동구 강촌로26번길 7-4, 지하1층(백석동)	민간		휴원			
43	경기	테이블에이 지축점	경기도 고양시 덕양구21, 2층	민간					
44	경기	아르티스테마파크	경기도 화성시 동탄대로19길 10, 신유메디프라자 9층	민간					
45	경기	센트럴 곤충생태농장	경기도 화성시 정남면 세자로 225	민간					
46	경기	주렁주렁 동탄점	경기도 화성시 동탄대로 5길 21, 라크몽 B동 4층, 5층	민간					
47	경기	신라애니멀 부천지점	경기도 부천시 조마루로 2 웅진플레이도시	민간					
48	경기	아프리카쥬	경기도 평택시 안중읍 서동대로 1464	민간					
49	경기	은산어울림생태박물관 협동조합	경기도 평택시 진위면 은산길 34-8번지 1층	민간					
50	경기	㈜브룩스월드 평택점 (구,하이브랜드평택점)	경기도 평택시 비전5로 10, 10층	민간					
51	경기	몬스터리움	경기도 김포시 대곶면 대명항1로 52	민간					
52	경기	사파리체험 테마파크	경기도 파주시 탄현면 헤이리마을길 93-75	민간					
53	경기	쥬라리움 파주점	경기도 파주시 탄현면 새오리로 69	민간					
54	경기	테이블에이 파주점	경기도 파주시 소리천로 39, 파크뷰테라스 20층	민간					
55	경기	㈜주렁주렁 하남점	경기도 하남시 유니온로 120 2층 주렁주렁	민간					
56	경기	쥬라리움(하남점)	경기도 하남시 미사강변한강로 209	민간					
57	경기	오산버드파크	경기도 오산시 성호대로 141	민간					
58	경기	㈜마일스톤	경기동 이천시 호법면 동산리 7	민간					
59	경기	농협경제지주 안성팜랜드	경기도 안성시 공도읍 대신두길 28	민간					
60	경기	주파크	경기도 포천시 소흘읍 죽엽산로 645	민간					
61	경기	아침고요가족 동물원	경기도 가평군 상면 임초밤안골로 301	민간					
62	경기	천원화조 관광농원	경기도 가평군 상면 임초밤안골로 301	민간					
									

 전국 수족관									
									
[서울]									
1	서울	코엑스 아쿠아리움							
2	서울	아쿠아 플라넷 63							
3	서울	롯데월드 아쿠아리움							
									
[부산]									
4	부산	부산광역시 해양자연사박물관	부산광역시 동래구 우장춘로 175(온천1동)	공공					
5	부산	SEA LIFE 부산 아쿠아리움							
6	부산	국립 해양 박물관							
									

[경기]									
	경기	아쿠아 플라넷 일산							
	경기	아쿠아 플라넷 광교							
	경기	플레이 아쿠아리움 부천							
									
		
 전국 식물원									
									
[서울]									
	서울	서울숲							
	서울	서울 식물원							
	서울	서울 창포원							
	서울	서울대학교 관악 수목원							
	서울	서울 푸른 수목원							
	서울	선유도 공원							
									
[부산]									
	부산	금강 식물원							
	부산	해운대 수목원							
	부산	화명 수목원							
									
					
[경기]									
	경기	포천 국립 수목원							
	경기	김포 허브랜드							
	경기	서울 대공원 식물원							
	경기	안성 허브마을							
	경기	무릉도원 수목원							
									
						
